,Date,Year,Month,Day,指数级别
61,20130303,2013,03,03,良
62,20130304,2013,03,04,轻度污染
63,20130305,2013,03,05,中度污染
64,20130306,2013,03,06,中度污染
65,20130307,2013,03,07,中度污染
66,20130308,2013,03,08,轻度污染
67,20130309,2013,03,09,轻度污染
68,20130310,2013,03,10,良
69,20130311,2013,03,11,良
70,20130312,2013,03,12,轻度污染
71,20130313,2013,03,13,良
72,20130314,2013,03,14,良
73,20130315,2013,03,15,良
74,20130316,2013,03,16,中度污染
75,20130317,2013,03,17,良
76,20130318,2013,03,18,良
77,20130319,2013,03,19,轻度污染
78,20130320,2013,03,20,良
79,20130321,2013,03,21,良
80,20130322,2013,03,22,轻度污染
81,20130323,2013,03,23,良
82,20130324,2013,03,24,轻度污染
83,20130325,2013,03,25,良
84,20130326,2013,03,26,良
85,20130327,2013,03,27,良
86,20130328,2013,03,28,轻度污染
87,20130329,2013,03,29,良
88,20130330,2013,03,30,良
89,20130331,2013,03,31,良
90,20130401,2013,04,01,轻度污染
91,20130402,2013,04,02,轻度污染
92,20130403,2013,04,03,良
93,20130404,2013,04,04,良
94,20130405,2013,04,05,良
95,20130406,2013,04,06,良
96,20130407,2013,04,07,良
97,20130408,2013,04,08,轻度污染
98,20130409,2013,04,09,良
99,20130410,2013,04,10,良
100,20130411,2013,04,11,良
101,20130412,2013,04,12,良
102,20130413,2013,04,13,轻度污染
103,20130414,2013,04,14,良
104,20130415,2013,04,15,良
105,20130416,2013,04,16,轻度污染
106,20130417,2013,04,17,轻度污染
107,20130418,2013,04,18,轻度污染
108,20130419,2013,04,19,良
109,20130420,2013,04,20,优
110,20130421,2013,04,21,良
111,20130422,2013,04,22,良
112,20130423,2013,04,23,良
113,20130424,2013,04,24,轻度污染
114,20130425,2013,04,25,轻度污染
115,20130426,2013,04,26,良
116,20130427,2013,04,27,良
117,20130428,2013,04,28,良
118,20130429,2013,04,29,良
119,20130430,2013,04,30,良
120,20130501,2013,05,01,良
121,20130502,2013,05,02,良
122,20130503,2013,05,03,良
123,20130504,2013,05,04,轻度污染
124,20130505,2013,05,05,良
125,20130506,2013,05,06,良
126,20130507,2013,05,07,良
127,20130508,2013,05,08,良
128,20130509,2013,05,09,良
129,20130510,2013,05,10,轻度污染
130,20130511,2013,05,11,轻度污染
131,20130512,2013,05,12,良
132,20130513,2013,05,13,良
133,20130514,2013,05,14,良
134,20130515,2013,05,15,良
135,20130516,2013,05,16,优
136,20130517,2013,05,17,优
137,20130518,2013,05,18,良
138,20130519,2013,05,19,良
139,20130520,2013,05,20,轻度污染
140,20130521,2013,05,21,轻度污染
141,20130522,2013,05,22,轻度污染
142,20130523,2013,05,23,良
143,20130524,2013,05,24,良
144,20130525,2013,05,25,良
145,20130526,2013,05,26,良
146,20130527,2013,05,27,优
147,20130528,2013,05,28,良
148,20130529,2013,05,29,轻度污染
149,20130530,2013,05,30,良
150,20130531,2013,05,31,良
151,20130601,2013,06,01,轻度污染
152,20130602,2013,06,02,良
153,20130603,2013,06,03,良
154,20130604,2013,06,04,良
155,20130605,2013,06,05,良
156,20130606,2013,06,06,良
157,20130607,2013,06,07,优
158,20130608,2013,06,08,优
159,20130609,2013,06,09,优
160,20130610,2013,06,10,良
161,20130611,2013,06,11,轻度污染
162,20130612,2013,06,12,良
163,20130613,2013,06,13,轻度污染
164,20130614,2013,06,14,良
165,20130615,2013,06,15,轻度污染
166,20130616,2013,06,16,轻度污染
167,20130617,2013,06,17,良
168,20130618,2013,06,18,良
169,20130619,2013,06,19,良
170,20130620,2013,06,20,良
171,20130621,2013,06,21,良
172,20130622,2013,06,22,良
173,20130623,2013,06,23,轻度污染
174,20130624,2013,06,24,轻度污染
175,20130625,2013,06,25,良
176,20130626,2013,06,26,良
177,20130627,2013,06,27,良
178,20130628,2013,06,28,良
179,20130629,2013,06,29,良
180,20130630,2013,06,30,良
181,20130701,2013,07,01,良
182,20130702,2013,07,02,良
183,20130703,2013,07,03,良
184,20130704,2013,07,04,良
185,20130705,2013,07,05,优
186,20130706,2013,07,06,优
187,20130707,2013,07,07,良
188,20130708,2013,07,08,优
189,20130709,2013,07,09,优
190,20130710,2013,07,10,良
191,20130711,2013,07,11,良
192,20130712,2013,07,12,良
193,20130713,2013,07,13,良
194,20130714,2013,07,14,良
195,20130715,2013,07,15,优
196,20130716,2013,07,16,优
197,20130717,2013,07,17,良
198,20130718,2013,07,18,良
199,20130719,2013,07,19,良
200,20130720,2013,07,20,良
201,20130721,2013,07,21,优
202,20130722,2013,07,22,优
203,20130723,2013,07,23,优
204,20130724,2013,07,24,良
205,20130725,2013,07,25,良
206,20130726,2013,07,26,良
207,20130727,2013,07,27,良
208,20130728,2013,07,28,良
209,20130729,2013,07,29,良
210,20130730,2013,07,30,良
211,20130731,2013,07,31,良
212,20130801,2013,08,01,良
213,20130802,2013,08,02,良
214,20130803,2013,08,03,优
215,20130804,2013,08,04,良
216,20130805,2013,08,05,良
217,20130806,2013,08,06,良
218,20130807,2013,08,07,良
219,20130808,2013,08,08,良
220,20130809,2013,08,09,良
221,20130810,2013,08,10,良
222,20130811,2013,08,11,轻度污染
223,20130812,2013,08,12,良
224,20130813,2013,08,13,良
225,20130814,2013,08,14,良
226,20130815,2013,08,15,良
227,20130816,2013,08,16,良
228,20130817,2013,08,17,良
229,20130818,2013,08,18,良
230,20130819,2013,08,19,优
231,20130820,2013,08,20,优
232,20130821,2013,08,21,优
233,20130822,2013,08,22,优
234,20130823,2013,08,23,良
235,20130824,2013,08,24,优
236,20130825,2013,08,25,优
237,20130826,2013,08,26,良
238,20130827,2013,08,27,良
239,20130828,2013,08,28,良
240,20130829,2013,08,29,良
241,20130830,2013,08,30,良
242,20130831,2013,08,31,优
243,20130901,2013,09,01,良
244,20130902,2013,09,02,良
245,20130903,2013,09,03,良
246,20130904,2013,09,04,良
247,20130905,2013,09,05,良
248,20130906,2013,09,06,优
249,20130907,2013,09,07,良
250,20130908,2013,09,08,良
251,20130909,2013,09,09,良
252,20130910,2013,09,10,轻度污染
253,20130911,2013,09,11,良
254,20130912,2013,09,12,良
255,20130913,2013,09,13,轻度污染
256,20130914,2013,09,14,良
257,20130915,2013,09,15,良
258,20130916,2013,09,16,良
259,20130917,2013,09,17,良
260,20130918,2013,09,18,良
261,20130919,2013,09,19,良
262,20130920,2013,09,20,良
263,20130921,2013,09,21,良
264,20130922,2013,09,22,良
265,20130923,2013,09,23,良
266,20130924,2013,09,24,优
267,20130925,2013,09,25,优
268,20130926,2013,09,26,良
269,20130927,2013,09,27,良
270,20130928,2013,09,28,良
271,20130929,2013,09,29,良
272,20130930,2013,09,30,良
273,20131001,2013,10,01,良
274,20131002,2013,10,02,良
275,20131003,2013,10,03,良
276,20131004,2013,10,04,良
277,20131005,2013,10,05,良
278,20131006,2013,10,06,良
279,20131007,2013,10,07,优
280,20131008,2013,10,08,优
281,20131009,2013,10,09,良
282,20131010,2013,10,10,良
283,20131011,2013,10,11,轻度污染
284,20131012,2013,10,12,良
285,20131013,2013,10,13,良
286,20131014,2013,10,14,良
287,20131015,2013,10,15,良
288,20131016,2013,10,16,良
289,20131017,2013,10,17,良
290,20131018,2013,10,18,良
291,20131019,2013,10,19,良
292,20131020,2013,10,20,轻度污染
293,20131021,2013,10,21,良
294,20131022,2013,10,22,良
295,20131023,2013,10,23,轻度污染
296,20131024,2013,10,24,轻度污染
297,20131025,2013,10,25,良
298,20131026,2013,10,26,轻度污染
299,20131027,2013,10,27,轻度污染
300,20131028,2013,10,28,轻度污染
301,20131029,2013,10,29,中度污染
302,20131030,2013,10,30,轻度污染
303,20131031,2013,10,31,良
304,20131101,2013,11,01,良
305,20131102,2013,11,02,轻度污染
306,20131103,2013,11,03,轻度污染
307,20131104,2013,11,04,轻度污染
308,20131105,2013,11,05,良
309,20131106,2013,11,06,中度污染
310,20131107,2013,11,07,中度污染
311,20131108,2013,11,08,重度污染
312,20131109,2013,11,09,中度污染
313,20131110,2013,11,10,良
314,20131111,2013,11,11,良
315,20131112,2013,11,12,良
316,20131113,2013,11,13,轻度污染
317,20131114,2013,11,14,中度污染
318,20131115,2013,11,15,中度污染
319,20131116,2013,11,16,轻度污染
320,20131117,2013,11,17,轻度污染
321,20131118,2013,11,18,良
322,20131119,2013,11,19,轻度污染
323,20131120,2013,11,20,中度污染
324,20131121,2013,11,21,重度污染
325,20131122,2013,11,22,轻度污染
326,20131123,2013,11,23,中度污染
327,20131124,2013,11,24,中度污染
328,20131125,2013,11,25,轻度污染
329,20131126,2013,11,26,轻度污染
330,20131127,2013,11,27,良
331,20131128,2013,11,28,良
332,20131129,2013,11,29,良
333,20131130,2013,11,30,轻度污染
334,20131201,2013,12,01,重度污染
335,20131202,2013,12,02,重度污染
336,20131203,2013,12,03,重度污染
337,20131204,2013,12,04,严重污染
338,20131205,2013,12,05,严重污染
339,20131206,2013,12,06,严重污染
340,20131207,2013,12,07,重度污染
341,20131208,2013,12,08,重度污染
342,20131209,2013,12,09,中度污染
343,20131210,2013,12,10,良
344,20131211,2013,12,11,轻度污染
345,20131212,2013,12,12,轻度污染
346,20131213,2013,12,13,中度污染
347,20131214,2013,12,14,轻度污染
348,20131215,2013,12,15,重度污染
349,20131216,2013,12,16,良
350,20131217,2013,12,17,良
351,20131218,2013,12,18,良
352,20131219,2013,12,19,中度污染
353,20131220,2013,12,20,重度污染
354,20131221,2013,12,21,轻度污染
355,20131222,2013,12,22,轻度污染
356,20131223,2013,12,23,中度污染
357,20131224,2013,12,24,重度污染
358,20131225,2013,12,25,严重污染
359,20131226,2013,12,26,重度污染
360,20131227,2013,12,27,良
361,20131228,2013,12,28,轻度污染
362,20131229,2013,12,29,中度污染
363,20131230,2013,12,30,轻度污染
364,20131231,2013,12,31,轻度污染
