, U(m/s), V(m/s),PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI,AQI,首要污染物,指数类别,城市,degree,direction
26,3.98,1.47,64.025,63.095,45.98,40.15,48.5,22.185,64.025,PM2.5_IAQI,良,西安市,1.216991132955778,south
27,4.2,2.07,67.9625,68.21000000000001,53.57,46.65,46.75,22.04,68.21000000000001,PM10_IAQI,良,西安市,1.1128793140886353,south
28,4.96,1.89,62.475,66.545,50.595,45.8125,38.5,22.58,66.545,PM10_IAQI,良,西安市,1.206733533934007,south
29,4.29,1.3,56.4125,63.395,41.97,38.775,30.5,23.175,63.395,PM10_IAQI,良,西安市,1.2765617616837088,south
30,2.99,1.11,51.5625,60.415,36.05,33.5125,24.5,23.92,60.415,PM10_IAQI,良,西安市,1.2153283968089834,south
31,3.58,-1.09,51.0375,58.93,32.16,31.6375,23.25,24.015,58.93,PM10_IAQI,良,西安市,1.2752443414911363,south
32,5.41,-4.79,47.58571428571429,54.125,26.75,27.8625,23.5,25.16,54.125,PM10_IAQI,良,西安市,0.8461077820410555,south
33,3.64,1.28,82.25,71.67,55.45,57.475,73.25,19.88,82.25,PM2.5_IAQI,良,西安市,1.2326537980902492,south
34,3.52,2.32,79.325,75.095,55.58,58.95,63.0,19.615,79.325,PM2.5_IAQI,良,西安市,0.9880568325449245,south
35,3.43,2.32,69.225,70.83,50.67,52.0,48.0,21.43,70.83,PM10_IAQI,良,西安市,0.9760958997621173,south
36,2.8,2.98,62.1625,67.675,43.26,44.35,36.5,22.165,67.675,PM10_IAQI,良,西安市,0.7542663563251912,south
37,2.81,2.32,58.337500000000006,64.22,37.54,40.2375,31.0,23.35,64.22,PM10_IAQI,良,西安市,0.8806258333060076,south
38,2.81,1.6,104.2125,85.32,61.44,68.1,97.75,14.855,104.2125,PM2.5_IAQI,轻度污染,西安市,1.0531845419926047,south
39,3.01,2.66,90.55,81.53999999999999,55.07,67.17500000000001,74.0,17.545,90.55,PM2.5_IAQI,良,西安市,0.8470483340367073,south
40,3.22,3.69,76.875,75.185,50.64,57.175,54.0,19.65,76.875,PM2.5_IAQI,良,西安市,0.7174853980500837,south
41,1.45,0.34,105.1125,81.8,45.75,55.7,92.5,19.125,105.1125,PM2.5_IAQI,轻度污染,西安市,1.3404745944724428,south
42,1.98,1.84,101.3375,84.03,45.91,58.1,79.75,19.19,101.3375,PM2.5_IAQI,轻度污染,西安市,0.8220309826214943,south
43,2.86,3.19,91.2875,81.285,45.04,56.9875,64.75,19.41,91.2875,PM2.5_IAQI,良,西安市,0.7309067071567171,south
44,1.16,0.37,99.4125,77.41,36.23,47.5875,75.75,20.61,99.4125,PM2.5_IAQI,良,西安市,1.2620320553184268,south
45,1.93,1.63,98.4,80.075,37.47,49.3125,68.75,20.015,98.4,PM2.5_IAQI,良,西安市,0.8694691951109236,south
46,1.03,-0.74,69.7625,56.65,21.08,9.2875,15.75,31.22,69.7625,PM2.5_IAQI,良,西安市,0.9477970768901736,south
47,0.14,-2.46,81.7125,64.37,26.64,15.875,20.0,28.015,81.7125,PM2.5_IAQI,良,西安市,0.05684924733283777,south
48,-0.83,-2.45,88.125,68.88499999999999,31.21,20.775,23.5,25.475,88.125,PM2.5_IAQI,良,西安市,0.32664049097118525,north
49,-0.2,-1.97,83.65,66.74000000000001,31.31,19.7,22.25,26.44,83.65,PM2.5_IAQI,良,西安市,0.10117618903756063,north
50,1.05,-0.53,77.5875,61.835,24.78,12.5625,18.0,29.905,77.5875,PM2.5_IAQI,良,西安市,1.1033464547487397,south
51,0.99,-2.41,91.375,69.97,32.09,21.0,23.75,25.89,91.375,PM2.5_IAQI,良,西安市,0.3897719708229051,south
52,-0.35,-1.58,105.5375,78.535,42.0,30.675,31.75,22.135,105.5375,PM2.5_IAQI,轻度污染,西安市,0.21799870468744134,north
53,-0.06,-0.79,106.025,79.36,44.55,30.4375,32.25,23.095,106.025,PM2.5_IAQI,轻度污染,西安市,0.07580383736113926,north
54,0.39,-0.86,109.1875,81.84,47.98,32.599999999999994,34.25,22.125,109.1875,PM2.5_IAQI,轻度污染,西安市,0.42575106916196787,south
55,-0.28,-1.28,108.4,82.445,46.8,34.2125,34.5,20.71,108.4,PM2.5_IAQI,轻度污染,西安市,0.21535769969773808,north
56,-0.65,-2.17,102.45,80.025,44.0,32.3875,32.75,21.26,102.45,PM2.5_IAQI,轻度污染,西安市,0.2910339615220937,north
57,0.52,-2.03,108.65,84.935,50.435,38.1375,36.25,21.29,108.65,PM2.5_IAQI,轻度污染,西安市,0.25076563556296616,south
58,0.19,-1.28,131.825,92.015,52.915,46.075,42.75,18.685,131.825,PM2.5_IAQI,轻度污染,西安市,0.14736148108865163,south
59,-0.53,-0.66,144.8375,100.27,58.415,52.6125,51.24999999999999,17.03,144.8375,PM2.5_IAQI,轻度污染,西安市,0.6765859585802032,north
60,-0.5,-0.56,150.67142857142858,103.785,60.735,55.6375,54.75,16.1,150.67142857142858,PM2.5_IAQI,中度污染,西安市,0.7288547264526309,north
61,-0.65,-0.53,162.72857142857143,110.68,61.795,58.4375,60.0,13.885,162.72857142857143,PM2.5_IAQI,中度污染,西安市,0.886744666663116,north
62,-0.4,-0.57,165.4,112.61,61.85,57.825,60.5,13.475,165.4,PM2.5_IAQI,中度污染,西安市,0.6119024344346667,north
63,0.35,-0.61,175.6,122.895,68.41499999999999,63.8875,66.0,14.135,175.6,PM2.5_IAQI,中度污染,西安市,0.5209097808482157,south
64,0.75,-0.65,186.78571428571428,131.225,70.78,73.4,68.75,13.39,186.78571428571428,PM2.5_IAQI,中度污染,西安市,0.8567056281827385,south
65,0.85,-0.56,176.45714285714288,126.51,68.735,73.86250000000001,63.5,14.435,176.45714285714288,PM2.5_IAQI,中度污染,西安市,0.9882432605815415,south
66,1.14,-0.45,156.0142857142857,115.935,64.7,62.675,55.50000000000001,16.475,156.0142857142857,PM2.5_IAQI,中度污染,西安市,1.194835372923591,south
67,2.16,-2.37,140.3,105.895,59.23,53.875,49.0,17.345,140.3,PM2.5_IAQI,轻度污染,西安市,0.7390737126968414,south
68,-1.02,-0.33,165.1142857142857,108.84,57.72,56.8,52.25,14.05,165.1142857142857,PM2.5_IAQI,中度污染,西安市,1.2578950989145121,north
69,-0.85,-0.19,185.77142857142852,118.6,62.355,61.3875,61.0,13.34,185.77142857142852,PM2.5_IAQI,中度污染,西安市,1.3508820515522728,north
70,-0.8,-0.2,201.73,127.425,66.08,64.4625,67.75,12.39,201.73,PM2.5_IAQI,重度污染,西安市,1.3258176636680326,north
71,-0.66,-0.27,214.01,137.49,69.81,65.4875,73.5,10.735,214.01,PM2.5_IAQI,重度污染,西安市,1.1824776086224307,north
72,-0.29,-0.27,226.36,148.56,73.57,60.7375,79.5,9.585,226.36,PM2.5_IAQI,重度污染,西安市,0.8210972760767722,north
73,0.13,-0.31,236.05,160.835,79.99000000000001,68.775,86.0,9.4,236.05,PM2.5_IAQI,重度污染,西安市,0.39707944522498234,south
74,0.63,-0.64,231.69,160.075,81.88499999999999,82.10000000000001,83.75,9.78,231.69,PM2.5_IAQI,重度污染,西安市,0.7775243103733478,south
75,1.02,-0.42,219.74,153.675,81.225,93.6125,78.75,10.71,219.74,PM2.5_IAQI,重度污染,西安市,1.1801892830972098,south
76,0.81,0.12,179.24285714285713,128.78,71.755,71.875,63.5,14.56,179.24285714285713,PM2.5_IAQI,中度污染,西安市,1.4237179714064943,south
77,0.67,-1.35,138.7,105.23,61.22,51.75,49.25,17.87,138.7,PM2.5_IAQI,轻度污染,西安市,0.46068025865973117,south
78,0.72,-2.89,116.2125,89.015,55.14,40.0875,38.75,19.775,116.2125,PM2.5_IAQI,轻度污染,西安市,0.24416433105931168,south
79,-0.33,-0.59,240.48,159.78,80.47999999999999,82.175,79.75,8.805,240.48,PM2.5_IAQI,重度污染,西安市,0.509972059701413,north
80,-0.24,-0.73,248.4,168.43,89.585,92.0125,85.25,8.57,248.4,PM2.5_IAQI,重度污染,西安市,0.3176353512895307,north
81,0.07,-0.51,225.25,154.365,88.27000000000001,99.8125,78.25,9.89,225.25,PM2.5_IAQI,重度污染,西安市,0.13640260440094745,south
82,-0.07,0.04,194.65714285714284,135.825,78.89,82.61250000000001,67.25,12.305,194.65714285714284,PM2.5_IAQI,中度污染,西安市,1.0516502125483738,north
83,-0.44,-0.53,146.3625,108.92,66.03999999999999,56.075,51.24999999999999,16.195,146.3625,PM2.5_IAQI,轻度污染,西安市,0.6928795422778014,north
84,-0.82,-0.63,263.05,172.755,97.215,91.4375,86.0,7.575,263.05,PM2.5_IAQI,重度污染,西安市,0.9156903231265414,north
85,-0.92,-0.59,234.26,156.57,93.92,100.995,78.25,9.15,234.26,PM2.5_IAQI,重度污染,西安市,1.0005583517408518,north
86,-0.8,-0.27,217.09,147.37,91.215,94.1,73.75,9.92,217.09,PM2.5_IAQI,重度污染,西安市,1.2453004715584186,north
87,-0.55,-0.19,255.18,159.765,90.775,84.88749999999999,76.25,10.205,255.18,PM2.5_IAQI,重度污染,西安市,1.2381766352209842,north
88,-0.87,-0.13,239.46,153.76,92.49,85.9,74.75,10.455,239.46,PM2.5_IAQI,重度污染,西安市,1.422468492673132,north
89,-1.05,-0.09,229.96,149.8,94.31,86.125,74.0,10.295,229.96,PM2.5_IAQI,重度污染,西安市,1.485291033116692,north
90,-0.37,0.28,238.27,145.04500000000002,86.1,61.6375,67.25,11.625,238.27,PM2.5_IAQI,重度污染,西安市,0.9229848998677982,north
91,-0.78,0.31,229.48,141.92000000000002,87.625,62.5,67.25,11.575,229.48,PM2.5_IAQI,重度污染,西安市,1.192502335453437,north
92,0.53,-3.68,73.13749999999999,57.265,14.19,13.325,20.5,29.45,73.13749999999999,PM2.5_IAQI,良,西安市,0.14303817240479155,south
93,0.25,-4.76,81.1125,61.98,18.83,16.6375,25.25,27.43,81.1125,PM2.5_IAQI,良,西安市,0.05247279587095416,south
94,-0.66,-5.48,95.6375,69.275,22.87,18.387500000000003,31.25,26.08,95.6375,PM2.5_IAQI,良,西安市,0.11986064278530069,north
95,0.49,-4.87,92.2125,67.28999999999999,21.02,15.8375,29.5,26.36,92.2125,PM2.5_IAQI,良,西安市,0.10027853247246847,south
96,1.22,-3.76,75.30000000000001,58.395,16.54,15.375,22.0,28.48,75.30000000000001,PM2.5_IAQI,良,西安市,0.31375072505675555,south
97,2.35,-4.81,84.9625,64.435,23.2,18.35,28.000000000000004,26.755,84.9625,PM2.5_IAQI,良,西安市,0.4544582269059595,south
98,0.95,-3.82,104.6375,74.61500000000001,29.22,20.3875,36.5,25.42,104.6375,PM2.5_IAQI,轻度污染,西安市,0.2437463778602908,south
99,1.39,-1.72,103.2875,73.50999999999999,28.18,17.0875,35.0,25.61,103.2875,PM2.5_IAQI,轻度污染,西安市,0.679684404778865,south
100,2.93,-1.54,106.7625,75.43,29.86,15.375,36.0,25.465,106.7625,PM2.5_IAQI,轻度污染,西安市,1.0868812230818692,south
101,3.11,-2.34,112.5125,78.83500000000001,32.01,14.65,37.25,24.655,112.5125,PM2.5_IAQI,轻度污染,西安市,0.9257535953791048,south
102,2.15,-3.56,114.0625,79.275,31.17,13.7375,36.5,24.055,114.0625,PM2.5_IAQI,轻度污染,西安市,0.5433060901912932,south
103,2.49,-4.23,110.55,77.61,30.93,13.675,34.5,23.955,110.55,PM2.5_IAQI,轻度污染,西安市,0.5320339525913096,south
104,2.76,-2.42,128.13750000000002,89.13,42.08,25.375,48.75,23.915,128.13750000000002,PM2.5_IAQI,轻度污染,西安市,0.8509412122068825,south
105,2.04,-0.2,149.1875,99.99,45.56,22.775,55.50000000000001,23.845,149.1875,PM2.5_IAQI,轻度污染,西安市,1.473069419436178,south
106,2.62,0.46,158.04285714285714,104.65,46.62,18.675,56.75,23.91,158.04285714285714,PM2.5_IAQI,中度污染,西安市,1.3969952077057104,south
107,2.91,0.45,177.0,114.83,51.215,19.2625,61.75000000000001,21.79,177.0,PM2.5_IAQI,中度污染,西安市,1.4173724052160515,south
108,2.84,0.66,192.05714285714285,122.765,55.525,23.775,65.75,19.34,192.05714285714285,PM2.5_IAQI,中度污染,西安市,1.342455063511728,south
109,3.31,0.55,199.67142857142855,127.405,60.055,30.85,68.0,18.24,199.67142857142855,PM2.5_IAQI,中度污染,西安市,1.4061376052450327,south
110,3.71,-0.23,208.82,134.45,57.54,35.35,69.5,17.11,208.82,PM2.5_IAQI,重度污染,西安市,1.5088809569309325,south
111,3.07,-0.63,203.31,129.89499999999998,52.42,33.925,64.0,18.13,203.31,PM2.5_IAQI,重度污染,西安市,1.3683945509454172,south
112,2.67,-0.56,187.8571428571429,121.215,49.09,32.3125,56.99999999999999,20.12,187.8571428571429,PM2.5_IAQI,中度污染,西安市,1.3640552446375258,south
113,4.44,-3.1,182.47142857142856,119.3,47.57,32.15,54.75,20.31,182.47142857142856,PM2.5_IAQI,中度污染,西安市,0.961280649258015,south
114,2.94,-0.16,161.07142857142858,105.41,47.36,28.625,57.75,21.42,161.07142857142858,PM2.5_IAQI,中度污染,西安市,1.5164281903216992,south
115,2.43,0.49,203.08,126.265,51.78,25.1125,69.5,20.51,203.08,PM2.5_IAQI,重度污染,西安市,1.371818489784468,south
116,2.37,0.82,227.45,141.95,53.27,20.1375,76.5,19.595,227.45,PM2.5_IAQI,重度污染,西安市,1.2376969532184412,south
117,2.53,0.87,255.41,162.15,59.23,24.7375,85.75,16.85,255.41,PM2.5_IAQI,重度污染,西安市,1.239589789470425,south
118,2.7,1.39,272.34000000000003,176.465,67.455,50.5125,93.0,13.965,272.34000000000003,PM2.5_IAQI,重度污染,西安市,1.0953672305274305,south
119,3.35,1.89,278.67,183.69,72.425,77.4375,96.25,12.44,278.67,PM2.5_IAQI,重度污染,西安市,1.057132260178234,south
120,3.54,1.34,280.12,186.835,69.87,83.6125,94.75,12.465,280.12,PM2.5_IAQI,重度污染,西安市,1.208933520430026,south
121,2.12,0.92,267.12,178.845,64.19,66.26249999999999,87.0,14.22,267.12,PM2.5_IAQI,重度污染,西安市,1.1613591172687538,south
122,1.21,1.56,231.92,153.66,59.66,52.775,71.75,17.84,231.92,PM2.5_IAQI,重度污染,西安市,0.6597104286357587,south
123,2.4,-0.84,229.96,152.01999999999998,59.595,55.4625,69.5,18.33,229.96,PM2.5_IAQI,重度污染,西安市,1.2341215074081695,south
124,3.75,-4.47,213.39,137.975,54.745000000000005,46.825,61.25,19.295,213.39,PM2.5_IAQI,重度污染,西安市,0.6980299035449384,south
125,2.26,1.22,349.96,260.70000000000005,78.14500000000001,102.35,102.55,8.525,349.96,PM2.5_IAQI,严重污染,西安市,1.0758001059458895,south
126,2.1,1.73,342.45,271.4857142857143,79.495,112.75,102.1,8.945,342.45,PM2.5_IAQI,严重污染,西安市,0.8817050493960039,south
127,1.63,2.06,304.04,204.2571428571429,72.535,101.635,96.25,11.84,304.04,PM2.5_IAQI,严重污染,西安市,0.6693902203988417,south
128,1.37,3.1,263.93,174.995,65.375,73.8125,81.0,15.165,263.93,PM2.5_IAQI,重度污染,西安市,0.41612726854304616,south
129,1.66,1.92,251.78,165.91,64.42,71.975,75.5,16.26,251.78,PM2.5_IAQI,重度污染,西安市,0.7128997503860198,south
130,1.99,1.87,411.62666666666667,356.35,92.11,114.83,104.8,5.335,411.62666666666667,PM2.5_IAQI,严重污染,西安市,0.8164762368808907,south
131,2.09,2.76,360.29,284.1857142857143,81.515,123.535,101.65,7.965,360.29,PM2.5_IAQI,严重污染,西安市,0.6481226818971267,south
132,2.37,3.68,306.83,197.715,72.475,106.05,91.5,11.45,306.83,PM2.5_IAQI,严重污染,西安市,0.572161089805258,south
133,1.85,1.46,410.4533333333333,329.86249999999995,72.775,101.365,100.7,8.34,410.4533333333333,PM2.5_IAQI,严重污染,西安市,0.902682192800379,south
134,2.19,2.31,388.86,314.15,75.63499999999999,105.26,100.95,9.22,388.86,PM2.5_IAQI,严重污染,西安市,0.7587378150228503,south
135,2.63,2.86,346.76,255.42857142857144,73.53,103.54,97.5,10.825,346.76,PM2.5_IAQI,严重污染,西安市,0.7435282943565659,south
136,1.05,1.21,369.81,256.22857142857146,70.44,63.6,88.5,10.76,369.81,PM2.5_IAQI,严重污染,西安市,0.7147196293468427,south
137,1.82,1.6,364.86,265.45714285714286,72.66,77.9875,93.0,11.055,364.86,PM2.5_IAQI,严重污染,西安市,0.8496371388387381,south
138,6.81,-6.52,20.52857142857143,18.19,4.34,4.5125,7.249999999999999,32.315,32.315,O3_IAQI,优,西安市,0.807150170954841,south
139,6.61,-3.97,21.32857142857143,19.49,4.53,4.9625,7.75,31.275,31.275,O3_IAQI,优,西安市,1.0299319866960033,south
140,3.64,-1.66,24.57142857142857,23.85,5.28,6.05,9.5,30.59,30.59,O3_IAQI,优,西安市,1.1429276261961943,south
141,4.6,-1.79,23.642857142857142,24.02,5.12,6.375,9.5,30.64,30.64,O3_IAQI,优,西安市,1.1996952404399437,south
142,8.51,-3.27,22.52857142857143,20.01,4.75,5.4375,7.75,30.655,30.655,O3_IAQI,优,西安市,1.2039375032040904,south
143,7.8,-4.03,24.27142857142857,22.61,5.23,6.237500000000001,8.75,30.035,30.035,O3_IAQI,优,西安市,1.0939044591293614,south
144,4.02,-1.49,28.92857142857143,28.99,6.34,8.175,11.0,29.215,29.215,O3_IAQI,优,西安市,1.215847641736246,south
145,4.66,0.41,28.985714285714284,30.52,6.47,9.2125,11.75,29.17,30.52,PM10_IAQI,优,西安市,1.4830394699525897,south
146,6.36,-0.33,30.585714285714285,33.27,6.92,11.3125,12.75,28.545,33.27,PM10_IAQI,优,西安市,1.518956023155807,south
147,5.71,-1.87,36.457142857142856,40.11,8.5,16.55,15.0,27.405,40.11,PM10_IAQI,优,西安市,1.2543088816958496,south
148,5.1,-2.12,39.7,43.75,9.77,18.8125,16.5,26.94,43.75,PM10_IAQI,优,西安市,1.1768408614967176,south
149,6.27,-2.23,41.74285714285714,45.83,11.47,20.887500000000003,17.25,26.85,45.83,PM10_IAQI,优,西安市,1.2290864460646211,south
150,3.92,-1.9,51.150000000000006,54.265,13.5,20.3625,20.5,26.12,54.265,PM10_IAQI,良,西安市,1.119468423023361,south
151,3.46,-0.25,58.6125,60.52,15.86,26.9625,25.25,25.025,60.52,PM10_IAQI,良,西安市,1.4986673382675377,south
152,3.8,-0.19,65.525,65.92,18.6,31.8,29.25,23.83,65.92,PM10_IAQI,良,西安市,1.5208379310729538,south
153,3.62,-0.42,85.1875,78.755,26.46,34.625,38.0,21.01,85.1875,PM2.5_IAQI,良,西安市,1.455290658764393,south
154,3.87,0.47,102.1875,87.17,37.52,37.825,44.0,19.405,102.1875,PM2.5_IAQI,轻度污染,西安市,1.4499411588748443,south
155,4.99,0.42,107.0625,88.945,46.02,44.725,45.25,19.205,107.0625,PM2.5_IAQI,轻度污染,西安市,1.4868259077001402,south
156,5.48,-0.47,119.9125,93.72,46.43,52.7,48.0,18.795,119.9125,PM2.5_IAQI,轻度污染,西安市,1.4852392759613113,south
157,5.04,-0.82,113.9,89.01,37.74,58.775000000000006,44.75,20.005,113.9,PM2.5_IAQI,轻度污染,西安市,1.4095111201768937,south
158,5.39,-0.79,103.4375,82.53999999999999,31.92,54.275000000000006,40.5,21.625,103.4375,PM2.5_IAQI,轻度污染,西安市,1.4252648125966096,south
159,7.72,-2.84,87.775,72.24000000000001,25.9,46.0875,33.5,23.425,87.775,PM2.5_IAQI,良,西安市,1.2182862463277853,south
160,2.78,-0.81,97.35,83.185,25.93,40.05,42.0,21.33,97.35,PM2.5_IAQI,良,西安市,1.287278498833856,south
161,2.33,-0.79,107.3,90.335,28.38,45.837500000000006,49.75,20.7,107.3,PM2.5_IAQI,轻度污染,西安市,1.243904429524995,south
162,2.06,-0.66,121.2625,98.255,32.12,49.425,56.99999999999999,19.775,121.2625,PM2.5_IAQI,轻度污染,西安市,1.2607411455639435,south
163,2.19,-0.73,152.4714285714286,116.12,43.97,46.9375,69.5,17.19,152.4714285714286,PM2.5_IAQI,中度污染,西安市,1.2490457723982544,south
164,2.42,-0.59,204.12,138.07999999999998,57.695,42.4625,84.25,14.98,204.12,PM2.5_IAQI,重度污染,西安市,1.3316598562069004,south
165,2.8,-0.17,221.8,146.365,65.125,60.3875,88.0,14.21,221.8,PM2.5_IAQI,重度污染,西安市,1.5101564786759203,south
166,3.33,-0.45,219.56,142.04500000000002,61.855,89.9,82.0,15.115,219.56,PM2.5_IAQI,重度污染,西安市,1.4364748848419282,south
167,2.98,-0.32,185.67142857142855,120.93,52.54,96.925,66.75,18.18,185.67142857142855,PM2.5_IAQI,中度污染,西安市,1.463823687325552,south
168,2.53,0.8,135.53750000000002,97.01,39.62,78.63749999999999,52.0,21.61,135.53750000000002,PM2.5_IAQI,轻度污染,西安市,1.264539169045312,south
169,5.15,-0.83,118.25,88.07,33.34,66.9,45.75,22.595,118.25,PM2.5_IAQI,轻度污染,西安市,1.4110053037581707,south
170,8.48,-4.13,99.95,76.11,26.81,52.5375,37.0,24.44,99.95,PM2.5_IAQI,良,西安市,1.117579823564179,south
171,1.47,-1.09,265.19,160.515,65.39,103.73,100.8,12.245,265.19,PM2.5_IAQI,重度污染,西安市,0.9327596444860999,south
172,1.51,-0.62,258.17,157.805,66.625,110.075,97.25,13.155,258.17,PM2.5_IAQI,重度污染,西安市,1.1811889495419505,south
173,1.56,0.42,208.39,127.925,55.815,109.085,74.75,17.465,208.39,PM2.5_IAQI,重度污染,西安市,1.3078015951139772,south
174,1.75,1.99,178.27142857142857,113.125,51.73,99.7125,65.0,19.945,178.27142857142857,PM2.5_IAQI,中度污染,西安市,0.7213149075350799,south
175,3.42,2.29,158.67142857142855,104.825,46.01,90.7625,59.75,21.015,158.67142857142855,PM2.5_IAQI,中度污染,西安市,0.9807721626588576,south
176,1.54,-0.2,294.24,169.81,73.285,107.075,102.25,11.41,294.24,PM2.5_IAQI,重度污染,西安市,1.4416490366668766,south
177,1.34,1.03,258.97,152.70999999999998,65.815,112.625,94.25,14.095,258.97,PM2.5_IAQI,重度污染,西安市,0.9154614508984613,south
178,1.74,2.27,224.4,133.51999999999998,61.285,107.83,80.25,17.25,224.4,PM2.5_IAQI,重度污染,西安市,0.6539902345885048,south
179,1.66,0.21,269.51,150.555,55.43,92.4625,96.25,15.405,269.51,PM2.5_IAQI,重度污染,西安市,1.4449587536457331,south
180,1.43,1.13,269.98,153.53,58.305,101.895,95.0,15.47,269.98,PM2.5_IAQI,重度污染,西安市,0.9020535988385177,south
181,1.39,1.69,258.91,148.555,62.3,105.595,91.25,16.285,258.91,PM2.5_IAQI,重度污染,西安市,0.6883018524994745,south
182,1.27,0.54,260.09000000000003,141.39,53.295,83.6875,90.5,17.08,260.09000000000003,PM2.5_IAQI,重度污染,西安市,1.168758957115238,south
183,1.26,0.86,264.0,144.725,61.565,99.325,92.25,15.965,264.0,PM2.5_IAQI,重度污染,西安市,0.9718850650646651,south
184,3.72,1.21,25.914285714285715,24.05,7.23,4.5375,8.0,35.45,35.45,O3_IAQI,优,西安市,1.2563213109585258,south
185,4.65,2.67,27.65714285714286,25.96,7.89,5.4875,8.75,34.31,34.31,O3_IAQI,优,西安市,1.0495683279781063,south
186,2.47,3.47,29.51428571428572,27.99,8.63,6.9375,9.5,33.38,33.38,O3_IAQI,优,西安市,0.6186119328614136,south
187,1.89,3.48,29.45714285714286,27.88,8.93,8.6875,9.75,33.335,33.335,O3_IAQI,优,西安市,0.49753293890492367,south
188,4.72,3.28,25.15714285714286,23.01,7.11,4.6000000000000005,7.75,34.855,34.855,O3_IAQI,优,西安市,0.9634911016286458,south
189,3.83,1.89,28.857142857142858,27.48,8.93,6.725,9.5,33.355,33.355,O3_IAQI,优,西安市,1.1123842720504982,south
190,1.9,2.51,34.98571428571429,34.25,11.57,10.05,11.5,32.82,34.98571428571429,PM2.5_IAQI,优,西安市,0.6479483475807235,south
191,1.64,3.3,42.12857142857143,40.74,15.21,15.2,14.249999999999998,32.68,42.12857142857143,PM2.5_IAQI,优,西安市,0.46122042930113266,south
