, TEMP(K), RH(%), PSFC(Pa),PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI,AQI,指数类别,城市
49,-8.95999999999998,61.82,81.01005,83.65,66.74000000000001,31.31,19.7,22.25,26.44,83.65,良,西安市
50,-10.430000000000007,69.54,74.18341000000001,77.5875,61.835,24.78,12.5625,18.0,29.905,77.5875,良,西安市
51,-8.910000000000025,61.13,79.59416,91.375,69.97,32.09,21.0,23.75,25.89,91.375,良,西安市
52,-7.829999999999984,56.74,84.59084,105.5375,78.535,42.0,30.675,31.75,22.135,105.5375,轻度污染,西安市
53,-8.079999999999984,56.5,84.69946,106.025,79.36,44.55,30.4375,32.25,23.095,106.025,轻度污染,西安市
54,-8.120000000000005,55.17,84.84049,109.1875,81.84,47.98,32.599999999999994,34.25,22.125,109.1875,轻度污染,西安市
55,-7.779999999999973,51.88,85.78808000000001,108.4,82.445,46.8,34.2125,34.5,20.71,108.4,轻度污染,西安市
56,-8.610000000000014,51.68,84.07108,102.45,80.025,44.0,32.3875,32.75,21.26,102.45,轻度污染,西安市
57,-8.990000000000009,53.64,82.81110000000001,108.65,84.935,50.435,38.1375,36.25,21.29,108.65,轻度污染,西安市
58,-6.439999999999998,49.43,88.74656,131.825,92.015,52.915,46.075,42.75,18.685,131.825,轻度污染,西安市
59,-5.189999999999998,45.44,91.50155000000001,144.8375,100.27,58.415,52.6125,51.24999999999999,17.03,144.8375,轻度污染,西安市
60,-5.1200000000000045,43.98,91.75625,150.67142857142858,103.785,60.735,55.6375,54.75,16.1,150.67142857142858,中度污染,西安市
61,-4.8700000000000045,41.75,92.39007000000001,162.72857142857143,110.68,61.795,58.4375,60.0,13.885,162.72857142857143,中度污染,西安市
62,-5.069999999999993,40.16,92.08528,165.4,112.61,61.85,57.825,60.5,13.475,165.4,中度污染,西安市
63,-6.199999999999989,43.85,89.98761,175.6,122.895,68.41499999999999,63.8875,66.0,14.135,175.6,中度污染,西安市
64,-6.470000000000027,45.65,89.43311,186.78571428571428,131.225,70.78,73.4,68.75,13.39,186.78571428571428,中度污染,西安市
65,-6.240000000000009,45.37,89.95867999999999,176.45714285714288,126.51,68.735,73.86250000000001,63.5,14.435,176.45714285714288,中度污染,西安市
66,-7.490000000000009,48.61,88.00665,156.0142857142857,115.935,64.7,62.675,55.50000000000001,16.475,156.0142857142857,中度污染,西安市
67,-8.220000000000027,50.57,85.62966,140.3,105.895,59.23,53.875,49.0,17.345,140.3,轻度污染,西安市
68,-3.579999999999984,38.0,95.03597,165.1142857142857,108.84,57.72,56.8,52.25,14.05,165.1142857142857,中度污染,西安市
69,-2.7799999999999727,36.79,96.75399,185.77142857142852,118.6,62.355,61.3875,61.0,13.34,185.77142857142852,中度污染,西安市
70,-2.6100000000000136,35.95,97.14691,201.73,127.425,66.08,64.4625,67.75,12.39,201.73,重度污染,西安市
71,-2.2799999999999727,34.59,97.78041,214.01,137.49,69.81,65.4875,73.5,10.735,214.01,重度污染,西安市
72,-1.9499999999999886,32.51,98.36247,226.36,148.56,73.57,60.7375,79.5,9.585,226.36,重度污染,西安市
73,-2.589999999999975,33.88,97.16052,236.05,160.835,79.99000000000001,68.775,86.0,9.4,236.05,重度污染,西安市
74,-3.519999999999982,37.47,95.55446,231.69,160.075,81.88499999999999,82.10000000000001,83.75,9.78,231.69,重度污染,西安市
75,-3.680000000000007,38.85,95.06891,219.74,153.675,81.225,93.6125,78.75,10.71,219.74,重度污染,西安市
76,-5.199999999999989,41.93,92.08561999999999,179.24285714285713,128.78,71.755,71.875,63.5,14.56,179.24285714285713,中度污染,西安市
77,-8.259999999999991,49.03,85.81313,138.7,105.23,61.22,51.75,49.25,17.87,138.7,轻度污染,西安市
78,-7.680000000000007,47.31,84.11461,116.2125,89.015,55.14,40.0875,38.75,19.775,116.2125,轻度污染,西安市
79,-1.6499999999999773,29.63,98.35397999999999,240.48,159.78,80.47999999999999,82.175,79.75,8.805,240.48,重度污染,西安市
80,-2.589999999999975,34.24,97.69142,248.4,168.43,89.585,92.0125,85.25,8.57,248.4,重度污染,西安市
81,-3.579999999999984,36.18,95.70319,225.25,154.365,88.27000000000001,99.8125,78.25,9.89,225.25,重度污染,西安市
82,-4.4599999999999795,38.21,93.63274,194.65714285714284,135.825,78.89,82.61250000000001,67.25,12.305,194.65714285714284,中度污染,西安市
83,-6.509999999999991,41.97,89.18508,146.3625,108.92,66.03999999999999,56.075,51.24999999999999,16.195,146.3625,轻度污染,西安市
84,-2.569999999999993,30.95,98.33613000000001,263.05,172.755,97.215,91.4375,86.0,7.575,263.05,重度污染,西安市
85,-3.069999999999993,32.57,97.30451,234.26,156.57,93.92,100.995,78.25,9.15,234.26,重度污染,西安市
86,-3.5,34.08,96.16313000000001,217.09,147.37,91.215,94.1,73.75,9.92,217.09,重度污染,西安市
87,-2.569999999999993,29.61,98.20867999999999,255.18,159.765,90.775,84.88749999999999,76.25,10.205,255.18,重度污染,西安市
88,-2.5600000000000023,29.6,98.52971000000001,239.46,153.76,92.49,85.9,74.75,10.455,239.46,重度污染,西安市
89,-2.579999999999984,29.57,98.42972999999999,229.96,149.8,94.31,86.125,74.0,10.295,229.96,重度污染,西安市
90,-2.519999999999982,28.16,98.05355,238.27,145.04500000000002,86.1,61.6375,67.25,11.625,238.27,重度污染,西安市
91,-2.2900000000000205,27.84,98.5258,229.48,141.92000000000002,87.625,62.5,67.25,11.575,229.48,重度污染,西安市
92,-7.490000000000009,51.76,76.80376,73.13749999999999,57.265,14.19,13.325,20.5,29.45,73.13749999999999,良,西安市
93,-6.4599999999999795,50.2,79.74541,81.1125,61.98,18.83,16.6375,25.25,27.43,81.1125,良,西安市
94,-6.550000000000011,53.13,82.55356,95.6375,69.275,22.87,18.387500000000003,31.25,26.08,95.6375,良,西安市
95,-7.839999999999975,54.94,81.00502,92.2125,67.28999999999999,21.02,15.8375,29.5,26.36,92.2125,良,西安市
96,-10.120000000000005,57.78,74.21700999999999,75.30000000000001,58.395,16.54,15.375,22.0,28.48,75.30000000000001,良,西安市
97,-7.189999999999998,51.82,79.60439,84.9625,64.435,23.2,18.35,28.000000000000004,26.755,84.9625,良,西安市
98,-5.389999999999986,50.76,84.56247,104.6375,74.61500000000001,29.22,20.3875,36.5,25.42,104.6375,轻度污染,西安市
99,-5.889999999999986,52.64,84.66998,103.2875,73.50999999999999,28.18,17.0875,35.0,25.61,103.2875,轻度污染,西安市
100,-5.889999999999986,51.73,84.80469000000001,106.7625,75.43,29.86,15.375,36.0,25.465,106.7625,轻度污染,西安市
101,-5.509999999999991,51.26,85.73688,112.5125,78.83500000000001,32.01,14.65,37.25,24.655,112.5125,轻度污染,西安市
102,-6.639999999999986,53.94,84.03002000000001,114.0625,79.275,31.17,13.7375,36.5,24.055,114.0625,轻度污染,西安市
103,-7.259999999999991,53.19,82.77702000000001,110.55,77.61,30.93,13.675,34.5,23.955,110.55,轻度污染,西安市
104,-3.0400000000000205,45.42,88.6655,128.13750000000002,89.13,42.08,25.375,48.75,23.915,128.13750000000002,轻度污染,西安市
105,-1.7099999999999795,43.94,91.38148,149.1875,99.99,45.56,22.775,55.50000000000001,23.845,149.1875,轻度污染,西安市
106,-1.6499999999999773,43.61,91.6287,158.04285714285714,104.65,46.62,18.675,56.75,23.91,158.04285714285714,中度污染,西安市
107,-1.3199999999999932,42.66,92.25066000000001,177.0,114.83,51.215,19.2625,61.75000000000001,21.79,177.0,中度污染,西安市
108,-1.6899999999999977,42.81,91.94922,192.05714285714285,122.765,55.525,23.775,65.75,19.34,192.05714285714285,中度污染,西安市
109,-3.089999999999975,44.6,89.8783,199.67142857142855,127.405,60.055,30.85,68.0,18.24,199.67142857142855,中度污染,西安市
110,-3.4599999999999795,43.94,89.32877,208.82,134.45,57.54,35.35,69.5,17.11,208.82,重度污染,西安市
111,-3.410000000000025,43.84,89.8503,203.31,129.89499999999998,52.42,33.925,64.0,18.13,203.31,重度污染,西安市
112,-5.3799999999999955,47.92,87.92349,187.8571428571429,121.215,49.09,32.3125,56.99999999999999,20.12,187.8571428571429,中度污染,西安市
113,-6.589999999999975,50.22,85.55857,182.47142857142856,119.3,47.57,32.15,54.75,20.31,182.47142857142856,中度污染,西安市
114,0.5500000000000114,37.96,94.84994999999999,161.07142857142858,105.41,47.36,28.625,57.75,21.42,161.07142857142858,中度污染,西安市
115,1.1999999999999886,38.77,96.53977,203.08,126.265,51.78,25.1125,69.5,20.51,203.08,重度污染,西安市
116,1.1999999999999886,39.78,96.92632,227.45,141.95,53.27,20.1375,76.5,19.595,227.45,重度污染,西安市
117,1.5199999999999818,39.36,97.54902,255.41,162.15,59.23,24.7375,85.75,16.85,255.41,重度污染,西安市
118,1.7799999999999727,38.09,98.12386000000001,272.34000000000003,176.465,67.455,50.5125,93.0,13.965,272.34000000000003,重度污染,西安市
119,1.0299999999999727,38.17,96.94083,278.67,183.69,72.425,77.4375,96.25,12.44,278.67,重度污染,西安市
120,0.10000000000002274,38.85,95.36048,280.12,186.835,69.87,83.6125,94.75,12.465,280.12,重度污染,西安市
121,-0.5400000000000205,39.56,94.89302,267.12,178.845,64.19,66.26249999999999,87.0,14.22,267.12,重度污染,西安市
122,-2.8000000000000114,42.9,91.95967,231.92,153.66,59.66,52.775,71.75,17.84,231.92,重度污染,西安市
123,-6.490000000000009,51.59,85.74892999999999,229.96,152.01999999999998,59.595,55.4625,69.5,18.33,229.96,重度污染,西安市
124,-6.009999999999991,48.5,84.04955,213.39,137.975,54.745000000000005,46.825,61.25,19.295,213.39,重度污染,西安市
125,1.5500000000000114,39.22,98.11261999999999,349.96,260.70000000000005,78.14500000000001,102.35,102.55,8.525,349.96,严重污染,西安市
126,1.0199999999999818,39.65,97.46167,342.45,271.4857142857143,79.495,112.75,102.1,8.945,342.45,严重污染,西安市
127,-0.30000000000001137,40.54,95.51288000000001,304.04,204.2571428571429,72.535,101.635,96.25,11.84,304.04,严重污染,西安市
128,-1.6899999999999977,41.89,93.47947,263.93,174.995,65.375,73.8125,81.0,15.165,263.93,重度污染,西安市
129,-4.2099999999999795,46.45,89.08602,251.78,165.91,64.42,71.975,75.5,16.26,251.78,重度污染,西安市
130,1.0199999999999818,41.37,98.0886,411.62666666666667,356.35,92.11,114.83,104.8,5.335,411.62666666666667,严重污染,西安市
131,0.6200000000000045,39.79,97.07721000000001,360.29,284.1857142857143,81.515,123.535,101.65,7.965,360.29,严重污染,西安市
132,0.160000000000025,39.13,95.95439,306.83,197.715,72.475,106.05,91.5,11.45,306.83,严重污染,西安市
133,0.7200000000000273,40.6,97.95706,410.4533333333333,329.86249999999995,72.775,101.365,100.7,8.34,410.4533333333333,严重污染,西安市
134,1.0,40.36,98.27512,388.86,314.15,75.63499999999999,105.26,100.95,9.22,388.86,严重污染,西安市
135,1.25,38.36,98.17609,346.76,255.42857142857144,73.53,103.54,97.5,10.825,346.76,严重污染,西安市
136,0.5,38.6,97.80599000000001,369.81,256.22857142857146,70.44,63.6,88.5,10.76,369.81,严重污染,西安市
137,0.8500000000000227,39.4,98.27361,364.86,265.45714285714286,72.66,77.9875,93.0,11.055,364.86,严重污染,西安市
138,-3.3100000000000023,37.79,77.00611,20.52857142857143,18.19,4.34,4.5125,7.249999999999999,32.315,32.315,优,西安市
139,-0.6000000000000227,31.86,79.89269999999999,21.32857142857143,19.49,4.53,4.9625,7.75,31.275,31.275,优,西安市
140,0.08999999999997499,36.8,82.66024,24.57142857142857,23.85,5.28,6.05,9.5,30.59,30.59,优,西安市
141,-1.490000000000009,42.71,81.14273,23.642857142857142,24.02,5.12,6.375,9.5,30.64,30.64,优,西安市
142,-5.4599999999999795,40.38,74.45699,22.52857142857143,20.01,4.75,5.4375,7.75,30.655,30.655,优,西安市
143,-0.4900000000000091,30.59,79.72902,24.27142857142857,22.61,5.23,6.237500000000001,8.75,30.035,30.035,优,西安市
144,1.920000000000016,32.71,84.59874,28.92857142857143,28.99,6.34,8.175,11.0,29.215,29.215,优,西安市
145,1.4700000000000273,36.73,84.70537,28.985714285714284,30.52,6.47,9.2125,11.75,29.17,30.52,优,西安市
146,1.5500000000000114,37.71,84.82278,30.585714285714285,33.27,6.92,11.3125,12.75,28.545,33.27,优,西安市
147,1.8500000000000227,39.71,85.73610000000001,36.457142857142856,40.11,8.5,16.55,15.0,27.405,40.11,优,西安市
148,0.5299999999999727,43.62,84.07945,39.7,43.75,9.77,18.8125,16.5,26.94,43.75,优,西安市
149,-0.17000000000001592,43.43,82.84458000000001,41.74285714285714,45.83,11.47,20.887500000000003,17.25,26.85,45.83,优,西安市
150,3.329999999999984,34.5,88.60311999999999,51.150000000000006,54.265,13.5,20.3625,20.5,26.12,54.265,良,西安市
151,4.480000000000018,35.45,91.25497999999999,58.6125,60.52,15.86,26.9625,25.25,25.025,60.52,良,西安市
152,4.389999999999986,37.51,91.49361999999999,65.525,65.92,18.6,31.8,29.25,23.83,65.92,良,西安市
153,4.439999999999998,39.69,92.10272,85.1875,78.755,26.46,34.625,38.0,21.01,85.1875,良,西安市
154,4.449999999999989,40.06,91.80848,102.1875,87.17,37.52,37.825,44.0,19.405,102.1875,轻度污染,西安市
155,3.4700000000000273,41.81,89.78049,107.0625,88.945,46.02,44.725,45.25,19.205,107.0625,轻度污染,西安市
156,3.2099999999999795,42.81,89.23398,119.9125,93.72,46.43,52.7,48.0,18.795,119.9125,轻度污染,西安市
157,3.3999999999999773,43.11,89.73913,113.9,89.01,37.74,58.775000000000006,44.75,20.005,113.9,轻度污染,西安市
158,1.7200000000000273,48.67,87.85406,103.4375,82.53999999999999,31.92,54.275000000000006,40.5,21.625,103.4375,轻度污染,西安市
159,0.29000000000002046,50.42,85.52455,87.775,72.24000000000001,25.9,46.0875,33.5,23.425,87.775,良,西安市
160,5.060000000000002,37.36,94.66438000000001,97.35,83.185,25.93,40.05,42.0,21.33,97.35,良,西安市
161,5.579999999999984,38.75,96.31577,107.3,90.335,28.38,45.837500000000006,49.75,20.7,107.3,轻度污染,西安市
162,5.680000000000007,40.1,96.68974,121.2625,98.255,32.12,49.425,56.99999999999999,19.775,121.2625,轻度污染,西安市
163,5.949999999999989,41.05,97.29696000000001,152.4714285714286,116.12,43.97,46.9375,69.5,17.19,152.4714285714286,中度污染,西安市
164,6.389999999999986,40.52,97.85397,204.12,138.07999999999998,57.695,42.4625,84.25,14.98,204.12,重度污染,西安市
165,5.920000000000016,41.18,96.68965,221.8,146.365,65.125,60.3875,88.0,14.21,221.8,重度污染,西安市
166,5.160000000000025,43.33,95.13580999999999,219.56,142.04500000000002,61.855,89.9,82.0,15.115,219.56,重度污染,西安市
167,5.060000000000002,43.6,94.66492,185.67142857142855,120.93,52.54,96.925,66.75,18.18,185.67142857142855,中度污染,西安市
168,3.660000000000025,46.05,91.79474,135.53750000000002,97.01,39.62,78.63749999999999,52.0,21.61,135.53750000000002,轻度污染,西安市
169,-0.040000000000020464,52.77,85.72914999999999,118.25,88.07,33.34,66.9,45.75,22.595,118.25,轻度污染,西安市
170,-0.2699999999999818,47.32,84.03123,99.95,76.11,26.81,52.5375,37.0,24.44,99.95,良,西安市
171,5.810000000000002,43.77,97.83897999999999,265.19,160.515,65.39,103.73,100.8,12.245,265.19,重度污染,西安市
172,5.5400000000000205,45.36,97.19303,258.17,157.805,66.625,110.075,97.25,13.155,258.17,重度污染,西安市
173,4.980000000000018,45.46,95.27352,208.39,127.925,55.815,109.085,74.75,17.465,208.39,重度污染,西安市
174,4.160000000000025,46.2,93.2792,178.27142857142857,113.125,51.73,99.7125,65.0,19.945,178.27142857142857,中度污染,西安市
175,2.009999999999991,48.82,88.99157000000001,158.67142857142855,104.825,46.01,90.7625,59.75,21.015,158.67142857142855,中度污染,西安市
176,5.029999999999973,47.61,97.81051,294.24,169.81,73.285,107.075,102.25,11.41,294.24,重度污染,西安市
177,4.920000000000016,47.76,96.81216,258.97,152.70999999999998,65.815,112.625,94.25,14.095,258.97,重度污染,西安市
178,4.800000000000011,47.44,95.70634,224.4,133.51999999999998,61.285,107.83,80.25,17.25,224.4,重度污染,西安市
179,4.529999999999973,48.42,97.68173,269.51,150.555,55.43,92.4625,96.25,15.405,269.51,重度污染,西安市
180,4.589999999999975,50.49,97.989,269.98,153.53,58.305,101.895,95.0,15.47,269.98,重度污染,西安市
181,4.730000000000018,51.42,97.89003,258.91,148.555,62.3,105.595,91.25,16.285,258.91,重度污染,西安市
182,3.9499999999999886,51.8,97.52781,260.09000000000003,141.39,53.295,83.6875,90.5,17.08,260.09000000000003,重度污染,西安市
183,3.8999999999999773,55.6,97.98583,264.0,144.725,61.565,99.325,92.25,15.965,264.0,重度污染,西安市
184,-2.1899999999999977,31.55,77.41121000000001,25.914285714285715,24.05,7.23,4.5375,8.0,35.45,35.45,优,西安市
185,0.2699999999999818,27.79,80.28349,27.65714285714286,25.96,7.89,5.4875,8.75,34.31,34.31,优,西安市
186,1.5500000000000114,26.81,83.02453999999999,29.51428571428572,27.99,8.63,6.9375,9.5,33.38,33.38,优,西安市
187,0.38999999999998636,27.17,81.51186,29.45714285714286,27.88,8.93,8.6875,9.75,33.335,33.335,优,西安市
188,-3.3799999999999955,29.85,74.82010000000001,25.15714285714286,23.01,7.11,4.6000000000000005,7.75,34.855,34.855,优,西安市
189,0.8000000000000114,25.35,80.10822999999999,28.857142857142858,27.48,8.93,6.725,9.5,33.355,33.355,优,西安市
190,3.1399999999999864,24.4,84.94596,34.98571428571429,34.25,11.57,10.05,11.5,32.82,34.98571428571429,优,西安市
191,3.009999999999991,24.44,85.04808,42.12857142857143,40.74,15.21,15.2,14.249999999999998,32.68,42.12857142857143,优,西安市
192,3.0500000000000114,24.47,85.19086,50.925,49.92,21.48,23.25,18.0,31.37,50.925,良,西安市
193,3.1899999999999977,24.88,86.11748,57.9875,53.93,28.01,31.9125,21.0,29.33,57.9875,良,西安市
194,2.160000000000025,25.33,84.46555000000001,53.025000000000006,50.645,24.24,30.125,18.5,28.08,53.025000000000006,良,西安市
195,1.3000000000000114,25.98,83.25304,50.8625,48.22,21.5,29.2625,17.25,27.38,50.8625,良,西安市
196,4.170000000000016,25.52,88.95627,78.875,69.69,32.39,38.925,31.75,29.375,78.875,良,西安市
197,5.279999999999973,24.73,91.61292,103.4625,85.14500000000001,43.72,61.7,44.0,27.24,103.4625,轻度污染,西安市
198,5.269999999999982,24.69,91.86261999999999,118.825,95.375,52.995000000000005,83.6,53.5,24.965,118.825,轻度污染,西安市
199,5.6299999999999955,24.09,92.47638,131.23749999999998,104.15,60.535,100.165,59.25,22.18,131.23749999999998,轻度污染,西安市
200,5.8799999999999955,23.23,92.17725,131.85,106.17,66.455,104.255,59.25,20.59,131.85,轻度污染,西安市
201,5.009999999999991,23.51,90.15957,112.2875,94.92,62.63,104.555,48.0,21.745,112.2875,轻度污染,西安市
202,4.589999999999975,23.56,89.63369,99.7875,87.2,50.915,101.1,41.25,22.305,101.1,轻度污染,西安市
203,4.769999999999982,22.71,90.14577,81.05000000000001,73.66,31.73,78.5125,32.75,24.085,81.05000000000001,良,西安市
204,3.3999999999999773,23.86,88.27555000000001,68.01249999999999,63.87,20.93,56.475,26.75,25.92,68.01249999999999,良,西安市
205,1.8999999999999773,25.64,85.99396,68.3625,62.895,18.12,50.5875,26.75,25.74,68.3625,良,西安市
206,6.009999999999991,24.73,95.03021000000001,141.2375,107.18,48.16,78.0,65.75,21.525,141.2375,轻度污染,西安市
207,6.4599999999999795,24.98,96.69249,148.4375,112.44,52.4,85.05000000000001,74.75,18.96,148.4375,轻度污染,西安市
208,6.569999999999993,24.96,97.07172,161.85714285714286,119.305,57.975,90.3875,84.25,16.33,161.85714285714286,中度污染,西安市
209,6.860000000000014,24.65,97.68317,190.95714285714288,135.03,69.72,95.2,97.25,13.885,190.95714285714288,中度污染,西安市
210,7.420000000000016,23.49,98.24008,214.03,151.05,83.42,98.2,101.85,11.665,214.03,重度污染,西安市
211,7.3700000000000045,22.68,97.07436,217.89,156.18,86.72,100.965,101.35,12.36,217.89,重度污染,西安市
212,7.029999999999973,22.38,95.52797,181.2,136.485,70.78999999999999,107.9,82.75,16.145,181.2,中度污染,西安市
213,7.009999999999991,21.57,95.06562,129.5375,105.9,51.755,109.89,56.00000000000001,20.645,129.5375,轻度污染,西安市
214,5.560000000000002,21.96,92.20053,80.8875,72.62,25.03,73.975,33.5,25.295,80.8875,良,西安市
215,1.8100000000000023,25.86,86.16564,80.1375,70.295,20.69,60.675,32.25,26.025,80.1375,良,西安市
216,1.2699999999999818,25.77,84.52866,78.7125,67.53999999999999,18.78,51.925,31.5,26.06,78.7125,良,西安市
217,6.740000000000009,24.51,98.23567,216.78,144.62,78.99000000000001,100.77,103.2,9.16,216.78,重度污染,西安市
218,6.759999999999991,24.48,97.59225,215.25,149.70499999999998,80.24000000000001,104.015,101.25,12.535,215.25,重度污染,西安市
219,6.670000000000016,22.79,95.67794,145.96249999999998,114.235,56.9,113.485,67.75,19.08,145.96249999999998,轻度污染,西安市
220,6.089999999999975,22.17,93.68909,103.475,85.86500000000001,38.21,98.1375,44.25,22.395,103.475,轻度污染,西安市
221,3.980000000000018,23.52,89.4092,96.075,78.755,29.29,77.4125,40.0,24.575,96.075,良,西安市
222,6.1299999999999955,26.64,98.22100999999999,202.13,130.47,70.505,94.2875,101.1,12.425,202.13,重度污染,西安市
223,6.529999999999973,24.43,97.22518,176.32857142857145,123.13,64.38,107.38,86.0,17.105,176.32857142857145,中度污染,西安市
224,6.819999999999993,22.88,96.12669,133.4,100.76,52.685,107.665,62.25000000000001,20.26,133.4,轻度污染,西安市
225,5.8700000000000045,28.35,98.1063,162.42857142857144,107.67,55.105,80.3,91.75,16.185,162.42857142857144,中度污染,西安市
226,6.139999999999986,27.32,98.41944000000001,167.11428571428573,111.275,59.795,89.925,90.0,17.43,167.11428571428573,中度污染,西安市
